INCLUIDO/ RDC 35/2012 CAP V ART 10
INCLUIDO/ RDC 35/2012 CAP V ART 11-I
INCLUIDO/RDC 35/2012 CAP V ART 11-II
INCLUIDO/ RDC 35/2012 CAP V ART 11-III
LISTA DE MEDICAMENTOS DE REFERÊNCIA,"","","","",""
FÁRMACO,DETENTOR,"",NOME COMERCIAL,CONCENTRAÇÃO,FORMA FARMACÊUTICA,DATA INCLUSÃO
 Aché,BRONDILAT,"5,0  mg/mL",xpe
Acebrofilina,Aché,"",BRONDILAT,10 mg/mL,xpe,07/10/2013
Alcaftadina,Allergan,"",LASTACAFT,"2,5mg/ml",sol oft,17/03/2014
Azacitidina,United Medical,"",VIDAZA,100mg,pó liof sol inj,17/03/2014
Sulfato de abacavir,Glaxosmithkline,"",ZIAGENAVIR,20 mg/mL,sol or,30/11/2012
Sulfato de abacavir,Glaxosmithkline,"",ZIAGENAVIR,300 mg,comp rev,30/11/2012
abiraterona (acetato),Janssen Cilag,"",ZYTIGA,250mg,com,02/08/2013
Aceclofenaco,Eurofarma,"",PROFLAM,100mg,com rev,12/11/2012
Aceclofenaco,Eurofarma,"",PROFLAM,15mg/g,crem derm,12/11/2012
Acetazolamida,União Química,"",DIAMOX,250 mg,com,31/01/2013
Acetilcisteína,Zambon,"",FLUIMUCIL,100mg,gran,12/11/2012
Acetilcisteína,Zambon,"",FLUIMUCIL,200mg,gran,12/11/2012
Acetilcisteína,Zambon,"",FLUIMUCIL,600mg,gran,12/11/2012
Acetilcisteína,Zambon,"",FLUIMUCIL,"11,5mg/ml",sol spr nas,12/11/2012
Acetilcisteína,Zambon,"",FLUIMUCIL,20 mg/ml,xpe,12/11/2012
Acetilcisteína,Zambon,"",FLUIMUCIL,40mg/ml,xpe,12/11/2012
Acetilcisteína,Zambon,"",FLUIMUCIL,600mg,com efev,12/11/2012
Acetilcisteína,Zambon,"",FLUIMUCIL,100mg/ml,sol inj,12/11/2012
"Acetilsalicílico, ácido",Cimed,"",N/A-GENÉRICO,100mg,comp,12/11/2012
"Acetilsalicílico, ácido",Bayer,"",ASPIRINA,500mg,com,12/11/2012
"Acetilsalicílico, ácido",Bayer,"",ASPIRINA,500mg,com eferv,12/11/2012
"Acetilsalicílico, ácido",Bayer,"",ASPIRINA BUFFERED,500mg,com (tamponado),12/11/2012
"Acetilsalicílico, ácido",Bayer,"",ASPIRINA PREVENT,100mg,com rev,12/11/2012
"Acetilsalicílico, ácido",Bayer,"",ASPIRINA PREVENT,300mg,com rev,12/11/2012
"Acetilsalicílico, ácido",Novartis Biociências,"",BUFFERIN CARDIO,81mg,com rev,12/11/2012
Ácido Valpróico,Abbott,"",DEPAKENE,250mg,cap mole,12/11/2012
Ácido tióctico,Merck S/A,"",THIOCTACID,600mg,comp rev,21/01/2013
Aciclovir,Glaxosmithkline,"",ZOVIRAX,"0,03 g/g",pom oft,12/11/2012
Aciclovir,Glaxosmithkline,"",ZOVIRAX,200 mg,com,12/11/2012
Aciclovir,Glaxosmithkline,"",ZOVIRAX,250 mg,po liof sol inj,12/11/2012
Aciclovir,Glaxosmithkline,"",ZOVIRAX,50 mg/g,crem derm,12/11/2012
Aciclovir,Merck S/A,"",ACICLOVIR,400 mg,com,12/11/2012
Acitretina,Roche,"",NEOTIGASON,10mg,cap dura,12/11/2012
Acitretina,Roche,"",NEOTIGASON,25 mg,cap dura,12/11/2012
Adapaleno,Galderma,"",DIFFERIN,"1,0 mg/g",gel,12/11/2012
Adapaleno,Galderma,"",DIFFERIN,"3,0 mg/g",gel,12/11/2012
Adapaleno,Galderma,"",DIFFERIN,"1,0 mg/g",crem derm,12/11/2012
Adenosina,Libbs,"",ADENOCARD,"3,0 mg/mL",sol inj,12/11/2012
Agomelatina,Servier,"",VALDOXAN,25 mg,com rev,21/01/2013
Albendazol,Glaxosmithkline,"",ZENTEL,200 mg,com,12/11/2012
Albendazol,Glaxosmithkline,ZENTEL,400 mg,com mast,12/11/2012
Albendazol,Glaxosmithkline,ZENTEL,40 mg/mL,susp or,12/11/2012
Alendronato sódico,Merck Sharp & Dohme,FOSAMAX,70 mg (ácido,com,12/11/2012
Alfaestradiol,Galderma,AVICIS,"0,25 mg/mL",sol top capilar,12/11/2012
Alfentanila (cloridrato),Janssen Cilag,RAPIFEN,"0,544 mg/mL",sol inj,12/11/2012
Alfuzosina (cloridrato),Sanofi-Aventis,XATRAL OD,10 mg,com rev,12/11/2012
Alisquereno (hemifumarato),Novartis Biociências,RASILEZ,150,com rev,12/11/2012
Alisquereno (hemifumarato),Novartis Biociências,RASILEZ,300mg,com rev,22/01/2013
Alopurinol,Glaxosmithkline,ZYLORIC,100mg,com,12/11/2012
Alopurinol,Glaxosmithkline,ZYLORIC,300mg,com,12/11/2012
Alprazolam,Pfizer,FRONTAL,"0,25mg",com,12/11/2012
Alprazolam,Pfizer,FRONTAL,"0,5mg",com,12/11/2012
Alprazolam,Pfizer,FRONTAL,1mg,com,12/11/2012
Alprazolam,Pfizer,FRONTAL,2mg,com,12/11/2012
